,State,2008_Avg_ZHVI,2009_Avg_ZHVI,2010_Avg_ZHVI,2011_Avg_ZHVI,2012_Avg_ZHVI,2013_Avg_ZHVI,2014_Avg_ZHVI,2015_Avg_ZHVI,2016_Avg_ZHVI,2017_Avg_ZHVI,2018_Avg_ZHVI,2019_Avg_ZHVI,2008_Avg_MSR,2009_Avg_MSR,2010_Avg_MSR,2011_Avg_MSR,2012_Avg_MSR,2013_Avg_MSR,2014_Avg_MSR,2015_Avg_MSR,2016_Avg_MSR,2017_Avg_MSR,2018_Avg_MSR,2019_Avg_MSR,2008_Avg_NS,2009_Avg_NS,2010_Avg_NS,2011_Avg_NS,2012_Avg_NS,2013_Avg_NS,2014_Avg_NS,2015_Avg_NS,2016_Avg_NS,2017_Avg_NS,2018_Avg_NS,2019_Avg_NS,2008_Avg_FR,2009_Avg_FR,2010_Avg_FR,2011_Avg_FR,2012_Avg_FR,2013_Avg_FR,2014_Avg_FR,2015_Avg_FR,2016_Avg_FR,2017_Avg_FR,2018_Avg_FR,2019_Avg_FR,2008_Div Rate,2009_Div Rate,2010_Div Rate,2011_Div Rate,2012_Div Rate,2013_Div Rate,2014_Div Rate,2015_Div Rate,2016_Div Rate,2017_Div Rate,2018_Div Rate,2008_unemployment,2009_unemployment,2010_unemployment,2011_unemployment,2012_unemployment,2013_unemployment,2014_unemployment,2015_unemployment,2016_unemployment,2017_unemployment,2018_unemployment,2019_unemployment
10,GA,173790.7,161387.79,151266.06,140202.11,137011.42,143007.24,154108.98,161715.42,170212.64,178582.08,191245.73,200731.7,181430.34,166199.78,163137.73,149657.44,150479.14,162611.97,170909.82,179431.3,184237.66,195246.92,212872.42,227524.64,9630.21,7959.0,8508.08,9158.42,11413.42,12114.3,12386.86,13273.67,16751.47,16785.13,17710.61,18107.43,0.05,0.08,0.1,0.08,0.08,0.08,0.06,0.05,0.04,0.03,0.02,0.02,,,,,,,,,,3.5,2.5,6.27,9.93,10.49,10.23,9.19,8.2,7.1,5.97,5.37,4.68,3.93,3.66
11,HI,591893.61,563030.8,552678.43,525001.03,514123.56,520677.17,540035.69,559843.94,580662.9,607022.82,628989.23,639542.82,477345.0,426754.92,410633.38,397520.83,415250.36,431007.96,493740.42,518424.17,531570.06,548866.68,575292.71,589334.88,715.9,706.88,820.33,870.33,905.17,1018.5,1044.67,1119.0,1309.42,1421.03,1268.33,1259.34,0.0,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,,,,,,,,,,,,4.33,7.13,6.95,6.8,6.01,4.88,4.36,3.57,2.95,2.42,2.44,2.74
12,IA,133499.25,132204.31,130146.43,127232.15,127070.0,126876.38,126363.27,127200.3,130324.45,134167.88,138963.78,143739.12,143402.14,142295.81,149682.36,143173.7,146382.37,150110.49,153406.19,157980.25,161076.64,165716.36,173010.46,184307.95,2539.0,2332.03,2202.58,2254.75,2879.58,3209.25,3266.75,3474.42,3594.92,4126.63,4107.25,3747.93,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.0,0.01,2.6,2.4,2.4,2.4,2.2,1.87,1.51,1.21,1.25,1.96,2.23,4.23,6.39,6.01,5.53,5.03,4.73,4.24,3.78,3.58,3.09,2.53,2.46
13,ID,202895.82,190033.46,175826.78,160282.06,162798.42,170566.93,176951.22,185195.72,197658.51,212604.98,234064.55,254894.81,185813.0,162301.81,148427.43,135215.11,139990.93,159218.96,167056.97,179271.21,198491.48,210979.24,241613.51,268321.93,1395.3,1448.42,1528.5,1579.75,1708.83,1970.92,2122.42,2494.33,2772.5,2917.42,2914.75,2672.01,0.01,0.02,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,4.8,5.0,5.2,4.9,4.7,4.5,4.25,4.13,4.03,3.88,3.84,5.14,8.73,8.97,8.32,7.2,6.12,4.83,4.23,3.8,3.23,2.84,2.86
14,IL,185279.54,172871.79,166078.66,160941.3,156397.42,159461.21,164184.87,165626.16,168278.19,171897.88,176470.53,178661.3,239192.82,207701.87,199033.89,181520.69,183198.65,195746.04,204166.18,206419.14,203575.73,211393.68,225086.2,234340.33,9722.2,9316.67,9476.79,9194.41,10656.43,12028.08,13187.75,15211.27,16447.74,18000.15,16945.89,15728.27,0.01,0.02,0.02,0.02,0.03,0.06,0.04,0.03,0.02,0.02,0.02,0.02,2.5,2.5,2.6,2.6,2.4,2.27,2.21,2.2,2.2,1.87,1.51,6.31,10.2,10.37,9.69,8.99,9.04,7.1,5.96,5.81,4.91,4.28,4.17
15,IN,119905.88,116068.62,114085.42,111627.88,111895.56,113663.26,116166.64,120847.97,123874.73,129804.64,137879.8,145414.45,130080.83,125270.54,127509.99,130485.08,130026.26,135119.56,132705.56,138675.71,145964.39,151250.81,161891.48,171686.65,5589.97,5270.08,5070.83,5088.08,5724.45,6421.58,6940.58,7780.58,8446.39,10034.04,10107.83,9966.23,0.08,0.07,0.07,0.07,0.06,0.06,0.04,0.03,0.03,0.02,0.02,0.02,,,,,,,,,,,,5.92,10.29,10.34,9.11,8.35,7.63,5.96,4.83,4.43,3.54,3.45,3.42
16,KS,145180.18,141794.8,139609.49,135899.15,135413.36,137087.7,138301.53,139853.44,139656.04,141219.93,147326.24,152710.35,182593.12,180479.74,176744.3,180178.64,175999.15,174759.68,174818.62,179780.49,187209.31,194241.99,206730.07,216106.1,1925.6,1844.33,1690.27,1646.75,1868.67,2093.25,2143.67,2418.58,2818.34,3113.5,3210.25,3002.15,0.02,0.03,0.03,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.01,0.01,3.5,3.6,3.7,3.9,3.4,2.97,2.97,2.82,2.69,2.38,2.31,4.63,6.87,7.06,6.49,5.73,5.31,4.53,4.15,4.03,3.66,3.35,3.33
17,KY,126432.44,119893.0,114740.42,107916.67,102289.7,102090.49,100119.52,102113.23,104387.59,105538.71,110499.48,114688.08,149807.14,142029.3,143928.52,139834.62,142534.09,142874.85,146822.67,155805.88,160637.85,165876.99,176596.1,183893.01,3293.4,3286.67,3286.17,3077.42,3413.83,3987.17,3769.25,3981.25,4680.22,5088.39,5123.58,4952.32,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,4.6,4.6,4.5,4.4,4.1,4.16,3.85,3.7,3.79,3.73,3.54,6.47,10.33,10.17,9.38,8.17,8.02,6.46,5.28,5.14,4.91,4.34,4.2
18,LA,151377.55,149277.61,147012.81,142501.38,143311.61,144643.28,146715.99,151109.71,155370.54,156814.54,160139.4,162072.74,170312.4,169201.88,167733.97,167226.01,163371.0,174319.15,178101.04,180022.07,186749.22,191239.69,198612.85,200545.6,2752.27,2507.33,2456.67,2609.67,2910.33,3418.08,3710.42,3817.5,4212.82,4477.65,4171.35,4057.35,0.01,0.01,0.01,0.02,0.03,0.02,0.02,0.01,0.01,0.01,0.02,0.02,,,,,,2.17,2.25,2.77,2.04,1.92,1.74,4.93,6.83,7.95,7.83,7.09,6.68,6.37,6.32,6.07,5.13,4.88,4.53
19,MA,386248.0,364574.6,365931.21,354749.99,349036.32,366042.82,385413.36,403680.0,414750.04,430517.71,451397.3,459662.33,298460.79,287422.52,298359.66,291525.97,283353.18,300397.24,303114.44,323230.27,343965.48,374434.85,398465.34,415184.07,5074.3,4778.58,4781.75,4638.29,4685.25,5721.42,5512.25,6052.33,6315.58,6806.58,6674.75,6750.96,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.03,0.03,0.02,2.0,2.2,2.5,2.7,2.7,2.63,2.68,2.55,2.29,2.17,2.12,5.55,8.1,8.29,7.24,6.66,6.72,5.75,4.8,3.88,3.76,3.35,2.95
