RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11
395032,"Rock Springs, WY",516,196200,209900,213000,213600,216300,209100,208600,205000,211200,208300,201700,201100,204100,205200,195800,198000,199500,207800,202000,202800,195500,195800,191600,188200,179500,178500,172100,179700,175500,183800,183400,193400,187500,171700,163400,170700,182200,183500,165800,164100,160100,175100,178200,193800,194500,197400,185000,199600,195100,199600,183900,182600,195700,210100,222700,211300,199100,204500,198500,201200,192200,208800,208300,207900,205700,211900,213100,217000,212300,221000,216800,221500,205400,210900,207900,220800,210900,218000,205500,212700,202900,223500,221800,239900,233300,234700,217000,216800,215800,213500,214900,223900,232700,224400,224900,216300,229500,219500,231300,221400,228400,219600,224400,214200,216200,200500,215200,209300,218100,211700,213100,217100,218000,231800,227400,232100,233300,239500,208700,202500,200300,218700,225800,222300,228400,211800,220200,203800,217600,190900,207800,205700,219400,215700,210200,219200,233100,245800,241900,231400,226800
753865,"Bardstown, KY",517,100100,104000,104400,108600,105900,107900,103400,107800,100900,101500,103400,108800,97900,101500,107100,124300,117000,111700,104700,104300,96600,97200,102900,108600,102900,106000,108600,111800,114200,111600,105400,99800,95000,109600,109600,118000,109600,98500,92400,96700,111200,118300,119900,114700,103500,96600,98200,113300,112000,117300,107700,112900,114200,119000,121600,109600,104300,108800,114100,120400,117600,118400,118700,113600,113000,109800,114800,117100,117400,113600,113500,110300,112200,105800,100700,103200,109300,119700,112900,110200,111000,115000,114700,118200,121300,128100,126200,128500,126000,129400,137900,136600,132000,121500,123800,124900,126400,127400,140300,142700,146700,140600,140700,141500,139800,145400,146600,159700,156300,156500,143900,145500,138400,138400,137800,145700,152300,155400,156600,154300,150700,149800,148600,148300,148700,147500,153600,155100,162000,160000,158900,151900,146800,150200,153700,155800,153600,152800,164800,164200,
394500,"Cornelia, GA",518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116200,123000,116900,103200,100400,104700,112000,117600,118400,119900,125800,127100,126200,118400,119200,121600,124900,123000,124900,118200,116400,127600,134000,137800,127700,127300,133800,137300,140400,144200,140000,137500,132500,135700,140800,143200,142500,138000,137200,141200,146300,151800,156500,160600,159400,161200,160900,156200,150000,149800,156800,163300,166000,163900,157700,155600,158400,171700,175800,176400,166500,165500,165100,169000,163600,171200,
394426,"Burley, ID",519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116200,118500,106300,100400,87100,95300,102200,113700,126500,128300,122400,107700,110500,107200,104900,99300,100500,116300,118700,130400,121000,124700,116600,116900,113600,116900,117500,117700,112300,106600,106800,110300,114100,115200,116100,116300,113300,118100,122100,124800,125500,130500,136300,134400,128900,119800,118000,121600,127900,127100,112300,110900,116300,128900,124400,125400,130800,138900,141300,136100,132500,130700,132800,136300,135400,144100,142700,141300,143800,143500,152500,145700,151300,145400,147700,148300,149300,145500,150300,147500,150200,150200,155000,162500,170500,173300,161800,159300,153800,155000,157300,159200,170200,159500,174800,175300,184200,176700,173100,176200,
394384,"Big Rapids, MI",520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66700,73200,78900,84500,76500,75500,70000,85100,86200,88100,76300,68500,71600,70900,78000,79300,81500,77700,80200,80200,78900,75100,76100,84500,95900,95400,93800,82100,89100,89300,97600,92300,90400,91200,96200,107700,105000,107300,104700,104700,109100,108300,108200,99600,94900,88600,92900,97400,105200,104400,99300,95400,94100,98700,107700,116300,122400,121800,120000,113700,109200,107600,100700,106800,109800,127600,115900,106800,90400,92300,101000,110100,111900,107200,111200,133800,
394993,"Poplar Bluff, MO",521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115900,113400,104100,101800,100800,98100,98500,98400,98700,93500,91000,94100,112800,116900,118600,107500,105300,106400,103700,93300,89700,102400,122400,119000,102700,96800,91700,103900,104800,119200,117300,119900,118100,122200,112700,116300,107700,107000,99000,111000,113800,111100,111100,113200,121400,112300,118700,112700,108200,
394895,"Muscatine, IA",522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112900,116300,117800,127200,134700,135700,135700,130300,131800,126800,122900,113600,117600,106800,113500,114600,132100,136200,129600,124700,121800,124600,121700,128400,124000,118800,123100,116900,134000,135700,148500,141800,126200,134500,134100,138400,131000,
394548,"Durant, OK",523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116100,121400,119400,124600,122700,116400,103300,97900,94800,100600,101900,106200,106700,105800,99000,100700,101100,111200,116500,120900,121500,105300,104000,102200,106000,110900,110300,111000,103800,108400,116700,116300,113200,111300,114400,113400,130400,119900,120800,101700,113900,112700,111600,113300,114000,114600,116400,134000,149600,144400,130400,122900,127100,123400,124700,129700,132700,120500,124600,139500,145000,140100,142000,140600,139200,128800,139100,147200,138800
394538,"Douglas, GA",524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106900,99000,103800,93200,90500,99600,95400,116300,102900,117200,97500,97800,80100,81600,80000,85500,85400,85400,98900,90700,99200,82500,100400,93800,91000,78400,97000,107200,103100,93700,108200,112500,
395228,"Willmar, MN",525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109900,104200,105800,98000,106100,98700,105100,110100,118200,119500,115500,112700,118400,113400,132200,142300,149000,129800,117000,120900,122300,119900,118600,122000,125200,130600,129000,127800,122800,126400,124600,121100,124700,132300,134700,130700,129600,129300,137000,139400,139400,140000,138500,141200,136800,127300,124500,106900,111100,114800,132600,134900,134900,133800,133200,131300,117300,112400,115200,125600,131500,125300,126300,122800,125500,123800,133200,138400,140800,146300,146900,152900,145200,154300,149500,152800,145900,147500,142200,140300,144800,152800,155300,154300,163600,161400,158400,150500,149000,150900,153900,162500,158800,157100,150900,
